,SHAP value
PDX5PO2,4.325616820204951e-05
G3PAT160,4.302139381545334e-05
HSST,4.2599047930545705e-05
TMDK1,4.257722553214096e-05
PMDPHT,4.248471612156604e-05
ADSL2r,4.225648853477849e-05
ADSS,4.218745229137791e-05
PPNCL2,4.217074255660375e-05
TMPK,4.21156291329853e-05
OGMEACPR,4.211182964466354e-05
ANS,4.208067485178219e-05
UPP3S,4.207431438960471e-05
NNDPR,4.2065905151824124e-05
RBFSa,4.205745522420041e-05
PRAGSr,4.205655139469396e-05
METS,4.205485287173085e-05
IPPMIa,4.203984295125984e-05
DASYN161,4.2013390778840194e-05
IG3PS,4.200123681668606e-05
PRAIS,4.199750244599135e-05
THZPSN3,4.199381316006064e-05
G3PAT161,4.1993742785567255e-05
SHCHF,4.19625289447773e-05
DMATT,4.1950652495648526e-05
UPP3MT,4.1934260755628375e-05
TYRTA,4.191363742112147e-05
HBZOPT,4.1875080170596786e-05
OPMEACPD,4.187469266819501e-05
SULR,4.187400898645396e-05
BTS5,4.186996370875432e-05
OGMEACPS,4.186870087589851e-05
DB4PS,4.1863717343167135e-05
UHGADA,4.1839608734499294e-05
I2FE2SS,4.183353370616862e-05
PSSA160,4.1807176092128456e-05
UAPGR,4.178216388039906e-05
IPMD,4.1766708853260296e-05
MDH,4.175067393010529e-05
DHNPA2r,4.1743474609255986e-05
DPCOAK,4.174325598553076e-05
SHCHD2,4.173567878583416e-05
PSSA161,4.1733811556397525e-05
EPMEACPR,4.1724879373919456e-05
AGPAT161,4.1717708730735904e-05
DHAD1,4.1713237609082677e-05
GTPCI,4.170043987273076e-05
MCTP1App,4.166327344737097e-05
TYRL,4.1655096768799733e-05
AOXSr2,4.1654860643455514e-05
PDX5PS,4.165313690005656e-05
RBFSb,4.1649850738840256e-05
DHDPRy,4.164814271860464e-05
GRTT,4.164655632277637e-05
HMBS,4.164491649845221e-05
DAPDC,4.1642442927617325e-05
GF6PTA,4.16345495157054e-05
IPPS,4.16133914522556e-05
A5PISO,4.160487525629177e-05
OCBT,4.1601713331155256e-05
ASNS2,4.159713665628426e-05
PRMICI,4.159398093916834e-05
IGPS,4.1580105409052944e-05
RHCCE,4.15796898082409e-05
PSD161,4.157735877678125e-05
ORPT,4.157490010073149e-05
OCTDPS,4.1573639076745e-05
PANTS,4.157330610082157e-05
UAGDP,4.1567340836043176e-05
PSCVT,4.1548376036715705e-05
OPMEACPR,4.15475464220912e-05
PGAMT,4.154538114015537e-05
QULNS,4.15420764230617e-05
UAGPT3,4.153945222292237e-05
PAPPT3,4.152384124644522e-05
VALTA,4.152081940238605e-05
GK1,4.151284832804013e-05
TMPPP,4.1496543834985526e-05
ADCS,4.149472777160753e-05
CYSTL,4.148858142100499e-05
USHD,4.148746056186453e-05
DNMPPA,4.147626675065604e-05
DHORTS,4.147028356149119e-05
EGMEACPR,4.14617213318152e-05
DASYN160,4.145581059814143e-05
DHAD2,4.144935348410177e-05
FCLT,4.144376581623164e-05
ASPCT,4.143839437140896e-05
ALAALAr,4.1437083441006894e-05
ADSL1r,4.142876296527645e-05
P5CR,4.1425024361974654e-05
PPND,4.1422779379014117e-05
PHETA1,4.142124087344102e-05
DDPA,4.1415636710396255e-05
HSTPT,4.1415309413758974e-05
ARGSS,4.1412913153770924e-05
UAMAGS,4.141134962192623e-05
FMNAT,4.1408437809461076e-05
OPHHX3,4.140542351834145e-05
MECDPDH5,4.1386966454847886e-05
UAAGDS,4.137862411444405e-05
CHORM,4.137193321754405e-05
U23GAAT,4.136065665328396e-05
PRAIi,4.135925165571077e-05
OPMEACPS,4.135660676318208e-05
IGPDH,4.1354410606806095e-05
KDOPP,4.1347631300448545e-05
NNATr,4.134577977034497e-05
ARGSL,4.134513877628319e-05
PRFGS,4.134328904546233e-05
BPNT,4.1341081409511764e-05
SHK3Dr,4.134049599024941e-05
DHQTi,4.133609011753767e-05
LEUTAi,4.1333879659996475e-05
SDPDS,4.133093533533782e-05
CTPS2,4.132908937735492e-05
CYSS,4.1324141088979387e-05
ACODA,4.131531752341723e-05
AMPMS2,4.131386855886294e-05
MECDPS,4.1313228953102776e-05
UAGCVT,4.130658078493277e-05
THDPS,4.1303531779819155e-05
GLUPRT,4.129173182952407e-05
PNTK,4.12891754068122e-05
PTPATi,4.127526670228581e-05
KARA1,4.126833365695518e-05
PPA,4.1265177766301576e-05
DPR,4.1253999384239365e-05
I4FE4SR,4.125362214589464e-05
CHRPL,4.125048237851548e-05
MOAT,4.1243177471332814e-05
SERAT,4.123196764951591e-05
ATPPRT,4.122614703896381e-05
GLU5K,4.1221846545016294e-05
PPCDC,4.1215297355229663e-05
I2FE2ST,4.121148085219825e-05
AMAOTr,4.120988306440578e-05
UMPK,4.120633668154623e-05
MTHFR2,4.1205534611587485e-05
ILETA,4.1186830473290805e-05
LPADSS,4.117010628412517e-05
UPPDC1,4.116619533369133e-05
HPPK2,4.115450216894073e-05
ADCL,4.115398394344984e-05
AGPR,4.1148499232587487e-05
DHPPDA2,4.114273614599108e-05
UDCPDP,4.114089407577437e-05
ACGK,4.113761310529197e-05
GLUR,4.113374289195543e-05
TDSK,4.1131875600878495e-05
I2FE2SS2,4.112041712984838e-05
GTPCII2,4.1119651337008705e-05
DHDPS,4.110551840364518e-05
PSD160,4.107996724222502e-05
OPHBDC,4.107059717294353e-05
OGMEACPD,4.1069158309208064e-05
G5SADs,4.1069054386909184e-05
MOHMT,4.106768669755971e-05
IPPMIb,4.106560576039392e-05
PRATPP,4.104743487462391e-05
CDPMEK,4.1047065040322996e-05
DMPPS,4.104703532384445e-05
PPNDH,4.104684751779757e-05
RBFK,4.1045077015859386e-05
OMPDC,4.1036288589243375e-05
ALAR,4.103076643431455e-05
DNTPPA,4.101445797903874e-05
OMCDC,4.100892347965969e-05
AICART,4.100686075199638e-05
AGPAT160,4.10050533872577e-05
HISTP,4.100007265064278e-05
METAT,4.0998462974207314e-05
SDPTA,4.099320947326176e-05
SHSL1,4.099063330798137e-05
KDOCT2,4.098848767502241e-05
AHCYSNS,4.0985889174829945e-05
G1SAT,4.0975461987992167e-05
PMEACPE,4.096990526880879e-05
DAPE,4.0965773890487736e-05
ALATA_L,4.096526330448682e-05
THRD_L,4.094767141881268e-05
HISTD,4.094226210206894e-05
CYTK1,4.0929466537963786e-05
DHFS,4.0916272596772086e-05
UGMDDS,4.089268488840999e-05
I4FE4ST,4.0892328677962763e-05
TRPAS2,4.0891044314063865e-05
UAMAS,4.089074232902139e-05
IMPD,4.087706164801225e-05
PMPK,4.0874043721301206e-05
KDOPS,4.087343369353416e-05
GMPS,4.0869511133047215e-05
CPPPGO,4.086948725369924e-05
