,Coefficient
PPPGO3,0.0001539668106989398
GF6PTA,0.00015224647844955345
UPP3MT,0.0001522456303988955
THRD_L,0.0001522291130671466
PDX5PO2,0.00015194909261703017
GTPCII2,0.00015186072182473993
TYRTA,0.0001518224381497414
AICART,0.00015182192202381142
LEUTAi,0.00015179807562048183
CDPMEK,0.00015157000657105196
HISTD,0.0001515437674623797
PPA,0.00015148161682766156
ALATA_L,0.00015140556456632448
PPBNGS,0.00015124671884853848
DHDPS,0.00015123707739445063
SHK3Dr,0.00015123701911309362
GMPS,0.00015117173625856954
DNTPPA,0.00015111669695388043
ACGK,0.00015109334702416655
ACLS,0.00015100438053642428
UMPK,0.00015093676919433603
AIRC2,0.00015092012781572567
ILETA,0.00015090689932815025
IPPMIa,0.00015090219249777386
FMNAT,0.00015081241353879628
DPCOAK,0.0001507706894047063
IG3PS,0.00015076405001364693
OPMEACPS,0.00015074628096550138
TMPPP,0.00015070663474904864
RHCCE,0.00015068588166038298
IPMD,0.00015064188856150153
METAT,0.00015057452194611206
MECDPDH5,0.00015056327579893584
PPNCL2,0.0001505075865734428
DHQTi,0.0001505017953768874
DXPRIi,0.00015047553214530464
OGMEACPD,0.0001504088201422349
DXPS,0.00015039334625252415
EGMEACPR,0.00015039219088962592
ADSL2r,0.000150343033339814
G1PACT,0.00015031394989509106
ALAR,0.00015028159135699827
HBZOPT,0.0001502381681515184
U23GAAT,0.00015023269225544473
ORPT,0.00015017594733955997
MECDPS,0.00015016753973710577
DB4PS,0.00015006672480874338
DHORTS,0.00015006171697153544
OMPDC,0.00014996892252388614
TMDS,0.00014996739716100613
HSST,0.0001499155241411336
DAPE,0.00014990892377145427
DAPDC,0.00014989787687898936
MOAT,0.0001498961361482528
SHCHF,0.0001498729694623583
PRAGSr,0.0001498430202656174
GK1,0.00014983972556767986
PRAIS,0.0001498380844856381
ASPO3,0.00014982487855139158
UHGADA,0.00014981811128254478
PMEACPE,0.00014981292047976655
AOXSr2,0.00014979908797837157
IPDPS,0.00014978093251108614
SDPDS,0.00014976700826389066
VALTA,0.00014976006494225595
AGPAT160,0.0001497509235053632
ACOTA,0.00014973649303867052
ANS,0.00014972498356084315
PDX5PS,0.00014972285648764077
AMAOTr,0.00014970110869733192
OPHHX3,0.0001496940864797025
DUTPDP,0.00014961880131435278
AMPMS2,0.00014958544643960987
ADCL,0.00014956269023932506
UAMAS,0.000149562635488741
UAAGDS,0.00014950920307885157
HPPK2,0.0001494819214534681
NNATr,0.00014942699581553038
DNMPPA,0.00014941817015633343
OGMEACPR,0.00014940008232151668
APRAUR,0.00014940000157689812
CHORM,0.00014936543451995506
CYSTL,0.0001492958385587847
BTS5,0.00014928489585806884
SDPTA,0.00014925203251954646
PRAIi,0.00014924047178347538
UDCPDP,0.0001492394818531159
DDPA,0.00014922948115274576
G5SADs,0.00014920864083163137
GLUTRS,0.00014920275045688687
MOHMT,0.00014918082720931914
KDOPP,0.00014918043590337506
PRMICI,0.00014918027019021992
KARA2,0.00014917168464079363
SHKK,0.00014916857021467943
PRFGS,0.0001491396981184848
THZPSN3,0.0001491341066978711
ARGSL,0.00014910330403901715
ADCS,0.00014908632551973344
PRAMPC,0.0001490643594179096
GLU5K,0.00014905856884220848
UPP3S,0.0001490522016325702
G1SAT,0.0001490431525131418
RBFK,0.00014903981172795548
GLUPRT,0.00014903469738187527
ACGS,0.00014902431129445388
OCTDPS,0.00014900984891593852
HMBS,0.00014900016314698446
ASP1DC,0.00014898304723779573
KDOPS,0.00014898295433887095
PSCVT,0.0001489685630981555
OPHBDC,0.00014896123365381586
NADS1,0.00014888761488479973
TYRL,0.00014885530863946567
UAGCVT,0.00014881330330184965
UPPDC1,0.00014879062529694025
ATPPRT,0.00014879046288867852
CHRPL,0.0001487747093634018
IMPC,0.00014876129276343317
PAPPT3,0.00014874977827368516
PANTS,0.0001487310572793348
DHFS,0.00014872202509625467
CYSS,0.00014867293586641342
KARA1,0.00014864605149871225
A5PISO,0.00014858152689444312
OPMEACPR,0.00014857938794250354
GLNS,0.0001485609078519583
DBTS,0.00014854634969995828
MCTP1App,0.0001485348702926877
ACHBS,0.00014852829367325286
G5SD,0.00014849919405278135
GRTT,0.00014848861106090243
ADSL1r,0.00014844047102873303
MEPCT,0.00014843722281710007
IPPS,0.00014843528774740184
PSSA161,0.00014841504597494387
UAGAAT,0.00014838783652922777
DMATT,0.00014837061336287188
TMPK,0.00014835403897202776
PRATPP,0.00014834925043636578
FCLT,0.0001483436663348503
GLUTRR,0.0001483331264574385
ANPRT,0.00014832697445547194
BPNT,0.00014830403178588277
IPPMIb,0.0001482912756951064
HSTPT,0.0001482804615271785
DHQS,0.00014823911597761373
AGPAT161,0.0001482270906480433
UAPGR,0.0001482209228136662
EPMEACPR,0.0001482130531971798
IGPDH,0.00014820757601524277
DHNPA2r,0.00014816780155364528
SHCHD2,0.00014816414448870266
USHD,0.00014815369871025956
SADT2,0.00014813421214971873
DHAD2,0.00014812234733032305
DHAD1,0.00014811376716734648
HISTP,0.00014810250079420122
PPND,0.00014809231500441064
MOAT2,0.0001480807478563111
CHORS,0.0001480764212075115
UAMAGS,0.0001480652303444485
PSSA160,0.0001480563917123508
ASNS2,0.0001480305147867963
OGMEACPS,0.00014802751133107547
AHCYSNS,0.000148016676096076
PNTK,0.00014799521207920857
ADSS,0.00014797575460815386
DTMPK,0.00014795892780786532
PRASCSi,0.0001479339269556224
MALCOAMT,0.0001479010031576083
